Date,New_Installs ,Returning_Users ,Uninstalls ,Net_new_installs ,Uninstall_rate,DAU ,Unique_Page_Views,Page_view_conversion,Add_to_Cart,A2C_Conv,Add_to_Cart_Prod_page,Order_Comp,Overall_Conv
28-10-2021,13772,1120,3212,5440,23.32%,20841,6311,30.28%,1792,8.60%,28.39%,647,3.10%
29-10-2021,15359,1007,1999,5999,13.02%,22386,8109,36.22%,2341,10.46%,28.87%,589,2.63%
30-10-2021,13702,1066,4225,9617,30.83%,24472,8055,32.92%,2354,9.62%,29.22%,757,3.09%
31-10-2021,15030,1105,2001,10471,13.31%,26848,7142,26.60%,2112,7.87%,29.57%,608,2.26%
01-11-2021,12609,1202,2362,9528,18.73%,24685,8521,34.52%,2316,9.38%,27.18%,694,2.81%
02-11-2021,16512,1338,4406,8335,26.68%,28940,8302,28.69%,2248,7.77%,27.08%,1053,3.64%
03-11-2021,10286,1095,4295,7363,41.76%,21980,5900,26.84%,1466,6.67%,24.85%,611,2.78%
04-11-2021,7614,648,1626,4750,21.36%,13689,4020,29.37%,1073,7.84%,26.69%,507,3.70%
05-11-2021,8489,827,3266,5681,38.47%,20583,4234,20.57%,980,4.76%,23.15%,562,2.73%
06-11-2021,8772,951,4158,7755,47.40%,18962,5399,28.47%,1456,7.68%,26.97%,581,3.06%
07-11-2021,10688,989,3408,4901,31.89%,16843,3980,23.63%,1191,7.07%,29.92%,592,3.51%
08-11-2021,11884,1013,2005,5128,16.87%,20190,4350,21.55%,1107,5.48%,25.45%,402,1.99%
09-11-2021,19779,1766,3259,7259,16.48%,28804,10894,37.82%,2713,9.42%,24.90%,733,2.54%
10-11-2021,14971,1482,5565,7774,37.17%,26622,10353,38.89%,2519,9.46%,24.33%,506,1.90%
11-11-2021,7872,1000,3908,6637,49.64%,25431,7891,31.03%,1746,6.87%,22.13%,677,2.66%
12-11-2021,12854,1330,3421,9326,26.61%,26722,7712,28.86%,1945,7.28%,25.22%,427,1.60%
13-11-2021,9765,995,4641,8713,47.53%,22114,8429,38.12%,1754,7.93%,20.81%,322,1.46%
14-11-2021,12444,1188,3304,6981,26.55%,22447,6121,27.27%,1443,6.43%,23.57%,333,1.48%
15-11-2021,14735,1340,3307,6614,22.44%,21756,7003,32.19%,1655,7.61%,23.63%,563,2.59%
16-11-2021,8005,1003,3795,9461,47.41%,24574,7410,30.15%,1439,5.86%,19.42%,387,1.57%
17-11-2021,18193,1482,2390,8837,13.14%,26068,6813,26.14%,1152,4.42%,16.91%,311,1.19%
18-11-2021,17193,1527,3717,7787,21.62%,30064,6411,21.32%,1578,5.25%,24.61%,453,1.51%
