date,monthly_sales,lag_1,lag_2,lag_7,lag_14,lag_30,roll_7,roll_30,volatility
2016-03-27,1032349954064.5161,1032477800980.6451,1032605647896.7742,1033244882477.4193,1034139810890.3226,1036218685903.4482,1032733494812.9032,1034204845160.2225,276180904.17590255
2016-03-28,1032222107148.3871,1032349954064.5161,1032477800980.6451,1033117035561.2903,1034011963974.1936,1036079730868.9656,1032605647896.7743,1034076257702.8699,276180904.1758884
2016-03-29,1032094260232.258,1032222107148.3871,1032349954064.5161,1032989188645.1613,1033884117058.0646,1035940775834.4828,1032477800980.6451,1033948040516.129,276180904.17590255
2016-03-30,1031966413316.129,1032094260232.258,1032222107148.3871,1032861341729.0322,1033756270141.9354,1035801820800.0,1032349954064.5162,1033820193600.0,276180904.1758884
2016-03-31,1031838566400.0,1031966413316.129,1032094260232.258,1032733494812.9032,1033628423225.8064,1035673973883.871,1032222107148.3871,1033692346683.871,276180904.17590255
2016-04-01,1031699384640.0,1031838566400.0,1031966413316.129,1032605647896.7742,1033500576309.6774,1035546126967.742,1032092640968.8479,1033564121939.6129,278824982.3151747
2016-04-02,1031560202880.0,1031699384640.0,1031838566400.0,1032477800980.6451,1033372729393.5483,1035418280051.6129,1031961555525.8986,1033435519367.2258,283230929.0061604
2016-04-03,1031421021120.0,1031560202880.0,1031699384640.0,1032349954064.5161,1033244882477.4193,1035290433135.4839,1031828850819.5392,1033306538966.7096,288492865.4242928
2016-04-04,1031281839360.0,1031421021120.0,1031560202880.0,1032222107148.3871,1033117035561.2903,1035162586219.3549,1031694526849.7695,1033177180738.0645,293723025.7430177
2016-04-05,1031142657600.0,1031281839360.0,1031421021120.0,1032094260232.258,1032989188645.1613,1035034739303.2258,1031558583616.5898,1033047444681.2904,298062702.67168564
2016-04-06,1031003475840.0,1031142657600.0,1031281839360.0,1031966413316.129,1032861341729.0322,1034906892387.0968,1031421021120.0,1032917330796.3871,300666965.503793
2016-04-07,1030864294080.0,1031003475840.0,1031142657600.0,1031838566400.0,1032733494812.9032,1034779045470.9678,1031281839360.0,1032786839083.3549,300666965.5037318
2016-04-08,1030725112320.0,1030864294080.0,1031003475840.0,1031699384640.0,1032605647896.7742,1034651198554.8387,1031142657600.0,1032655969542.1935,300666965.5036705
2016-04-09,1030585930560.0,1030725112320.0,1030864294080.0,1031560202880.0,1032477800980.6451,1034523351638.7097,1031003475840.0,1032524722172.9032,300666965.5036093
2016-04-10,1030446748800.0,1030585930560.0,1030725112320.0,1031421021120.0,1032349954064.5161,1034395504722.5807,1030864294080.0,1032393096975.4839,300666965.5035481
2016-04-11,1030307567040.0,1030446748800.0,1030585930560.0,1031281839360.0,1032222107148.3871,1034267657806.4517,1030725112320.0,1032261093949.9354,300666965.5034868
2016-04-12,1030168385280.0,1030307567040.0,1030446748800.0,1031142657600.0,1032094260232.258,1034139810890.3226,1030585930560.0,1032128713096.258,300666965.5034256
2016-04-13,1030029203520.0,1030168385280.0,1030307567040.0,1031003475840.0,1031966413316.129,1034011963974.1936,1030446748800.0,1031995954414.4515,300666965.5033644
2016-04-14,1029890021760.0,1030029203520.0,1030168385280.0,1030864294080.0,1031838566400.0,1033884117058.0646,1030307567040.0,1031862817904.5161,300666965.5033031
2016-04-15,1029750840000.0,1029890021760.0,1030029203520.0,1030725112320.0,1031699384640.0,1033756270141.9354,1030168385280.0,1031729303566.4515,300666965.5032419
2016-04-16,1029611658240.0,1029750840000.0,1029890021760.0,1030585930560.0,1031560202880.0,1033628423225.8064,1030029203520.0,1031595411400.258,300666965.5031807
2016-04-17,1029472476480.0,1029611658240.0,1029750840000.0,1030446748800.0,1031421021120.0,1033500576309.6774,1029890021760.0,1031461141405.9354,300666965.50311947
2016-04-18,1029333294720.0,1029472476480.0,1029611658240.0,1030307567040.0,1031281839360.0,1033372729393.5483,1029750840000.0,1031326493583.4839,300666965.5030582
2016-04-19,1029194112960.0,1029333294720.0,1029472476480.0,1030168385280.0,1031142657600.0,1033244882477.4193,1029611658240.0,1031191467932.9032,300666965.502997
2016-04-20,1029054931200.0,1029194112960.0,1029333294720.0,1030029203520.0,1031003475840.0,1033117035561.2903,1029472476480.0,1031056064454.1935,300666965.50293577
2016-04-21,1028915749440.0,1029054931200.0,1029194112960.0,1029890021760.0,1030864294080.0,1032989188645.1613,1029333294720.0,1030920283147.3549,300666965.5028745
2016-04-22,1028776567680.0,1028915749440.0,1029054931200.0,1029750840000.0,1030725112320.0,1032861341729.0322,1029194112960.0,1030784124012.3871,300666965.5028133
2016-04-23,1028637385920.0,1028776567680.0,1028915749440.0,1029611658240.0,1030585930560.0,1032733494812.9032,1029054931200.0,1030647587049.2904,300666965.50275207
2016-04-24,1028498204160.0,1028637385920.0,1028776567680.0,1029472476480.0,1030446748800.0,1032605647896.7742,1028915749440.0,1030510672258.0645,300666965.5026908
2016-04-25,1028359022400.0,1028498204160.0,1028637385920.0,1029333294720.0,1030307567040.0,1032477800980.6451,1028776567680.0,1030373379638.7096,300666965.5026296
