date,forecast
2018-12-31,2734.3916015625
2019-01-01,2010.82958984375
2019-01-02,954.4698486328125
2019-01-03,619.624267578125
2019-01-04,695.798583984375
2019-01-05,2265.158447265625
2019-01-06,1973.531494140625
2019-01-07,1455.4720458984375
2019-01-08,1454.4163818359375
2019-01-09,971.14892578125
2019-01-10,981.01123046875
2019-01-11,1295.053955078125
2019-01-12,1913.7275390625
2019-01-13,2320.827880859375
2019-01-14,1354.4837646484375
2019-01-15,1248.336669921875
2019-01-16,1663.9544677734375
2019-01-17,1275.2998046875
2019-01-18,1100.879150390625
2019-01-19,1451.2769775390625
2019-01-20,2155.606201171875
2019-01-21,1768.4273681640625
2019-01-22,1312.668701171875
2019-01-23,1569.8873291015625
2019-01-24,1420.46533203125
2019-01-25,1430.775146484375
2019-01-26,1620.9608154296875
2019-01-27,1941.8448486328125
2019-01-28,1611.255126953125
2019-01-29,1499.65478515625
2019-01-30,1649.525390625
2019-01-31,1695.02734375
2019-02-01,2132.919921875
2019-02-02,2391.20556640625
2019-02-03,2470.553466796875
2019-02-04,1689.5552978515625
2019-02-05,1618.3221435546875
2019-02-06,1841.1663818359375
2019-02-07,2185.573974609375
2019-02-08,2669.37939453125
2019-02-09,2652.343994140625
2019-02-10,2802.011474609375
2019-02-11,2392.77880859375
2019-02-12,2751.4970703125
2019-02-13,2961.196533203125
2019-02-14,2544.483154296875
2019-02-15,2467.785888671875
2019-02-16,2782.44287109375
2019-02-17,2934.587158203125
2019-02-18,2738.381591796875
2019-02-19,2742.374755859375
2019-02-20,2620.285400390625
2019-02-21,2425.243896484375
2019-02-22,2639.484375
2019-02-23,2955.0263671875
2019-02-24,2947.06884765625
2019-02-25,2439.886474609375
2019-02-26,2566.80908203125
2019-02-27,2624.087890625
2019-02-28,2520.883056640625
2019-03-01,2615.745361328125
2019-03-02,2889.94189453125
2019-03-03,2717.007568359375
2019-03-04,2722.2998046875
2019-03-05,2971.046142578125
2019-03-06,2381.5068359375
2019-03-07,2440.3017578125
2019-03-08,2702.234130859375
2019-03-09,3062.831298828125
2019-03-10,3036.2646484375
2019-03-11,2308.262939453125
2019-03-12,2498.509521484375
2019-03-13,2672.459716796875
2019-03-14,2347.49609375
2019-03-15,2252.552734375
2019-03-16,2947.632080078125
2019-03-17,2687.556884765625
2019-03-18,2512.062744140625
2019-03-19,2903.519287109375
2019-03-20,2423.6162109375
2019-03-21,2357.267822265625
2019-03-22,2645.3271484375
2019-03-23,2954.4453125
2019-03-24,2953.55419921875
2019-03-25,2436.213134765625
2019-03-26,2624.44873046875
2019-03-27,2630.15771484375
2019-03-28,2612.889404296875
2019-03-29,2722.4384765625
2019-03-30,3302.960205078125
